 Disk integrated flux for K0V star (erg s-1 Sr-1 cm-2 nm-1)
=============================================================
Wavelength   quiet     spot      penumbra     umbra
   [nm]      region
============================================================
  295.000  2.493e+06  3.473e+05  3.896e+05  2.147e+04
  297.000  2.460e+06  3.473e+05  3.894e+05  2.265e+04
  299.000  2.430e+06  3.640e+05  4.080e+05  2.423e+04
  301.000  2.200e+06  3.571e+05  4.001e+05  2.568e+04
  303.000  2.997e+06  4.516e+05  5.065e+05  2.829e+04
  305.000  3.177e+06  4.890e+05  5.483e+05  3.130e+04
  307.000  4.707e+06  6.698e+05  7.524e+05  3.318e+04
  309.000  4.068e+06  6.043e+05  6.782e+05  3.399e+04
  311.000  6.679e+06  1.016e+06  1.143e+06  4.030e+04
  313.000  5.845e+06  9.293e+05  1.044e+06  4.378e+04
  315.000  6.664e+06  1.243e+06  1.398e+06  5.061e+04
  317.000  7.822e+06  1.571e+06  1.767e+06  6.114e+04
  319.000  6.296e+06  1.243e+06  1.397e+06  5.934e+04
  321.000  6.716e+06  1.360e+06  1.528e+06  6.837e+04
  323.000  5.663e+06  1.234e+06  1.385e+06  7.357e+04
  325.000  9.274e+06  2.037e+06  2.290e+06  9.099e+04
  327.000  1.218e+07  2.802e+06  3.152e+06  1.080e+05
  329.000  1.206e+07  3.003e+06  3.376e+06  1.299e+05
  331.000  1.001e+07  2.393e+06  2.688e+06  1.229e+05
  333.000  1.044e+07  2.524e+06  2.833e+06  1.412e+05
  335.000  9.593e+06  2.288e+06  2.567e+06  1.387e+05
  337.000  5.673e+06  1.348e+06  1.508e+06  1.168e+05
  339.000  6.966e+06  1.680e+06  1.879e+06  1.430e+05
  341.000  7.116e+06  1.771e+06  1.981e+06  1.555e+05
  343.000  8.184e+06  2.050e+06  2.295e+06  1.618e+05
  345.000  7.982e+06  1.953e+06  2.187e+06  1.458e+05
  347.000  8.390e+06  1.949e+06  2.182e+06  1.476e+05
  349.000  1.093e+07  2.685e+06  3.010e+06  1.771e+05
  351.000  1.282e+07  3.513e+06  3.940e+06  2.229e+05
  353.000  1.114e+07  3.167e+06  3.549e+06  2.285e+05
  355.000  1.356e+07  4.140e+06  4.638e+06  3.035e+05
  357.000  6.862e+06  1.878e+06  2.098e+06  1.882e+05
  359.000  7.701e+06  1.993e+06  2.228e+06  1.813e+05
  361.000  1.056e+07  2.806e+06  3.141e+06  2.289e+05
  363.000  1.146e+07  3.241e+06  3.626e+06  2.754e+05
  364.000  1.264e+07  3.668e+06  4.105e+06  3.008e+05
  365.000  1.499e+07  4.523e+06  5.068e+06  3.235e+05
  367.000  1.749e+07  5.630e+06  6.306e+06  4.180e+05
  369.000  1.406e+07  4.185e+06  4.683e+06  3.489e+05
  371.000  1.298e+07  3.401e+06  3.805e+06  2.850e+05
  373.000  6.057e+06  1.598e+06  1.779e+06  2.032e+05
  375.000  7.287e+06  1.904e+06  2.121e+06  2.312e+05
  377.000  1.305e+07  4.038e+06  4.512e+06  3.896e+05
  379.000  1.365e+07  4.456e+06  4.976e+06  4.487e+05
  381.000  1.140e+07  3.705e+06  4.130e+06  4.287e+05
  383.000  5.150e+06  1.735e+06  1.925e+06  2.751e+05
  385.000  7.699e+06  2.668e+06  2.967e+06  3.652e+05
  387.000  7.813e+06  2.642e+06  2.939e+06  3.587e+05
  389.000  1.108e+07  3.217e+06  3.588e+06  3.667e+05
  391.000  1.588e+07  4.814e+06  5.377e+06  4.786e+05
  393.000  6.752e+06  2.025e+06  2.249e+06  3.044e+05
  395.000  1.412e+07  3.939e+06  4.396e+06  4.153e+05
  397.000  9.631e+06  2.862e+06  3.183e+06  3.877e+05
  399.000  2.352e+07  7.793e+06  8.713e+06  7.122e+05
  401.000  2.590e+07  9.341e+06  1.044e+07  8.910e+05
  403.000  2.404e+07  7.979e+06  8.923e+06  7.088e+05
  405.000  2.212e+07  7.569e+06  8.446e+06  8.143e+05
  407.000  2.014e+07  6.704e+06  7.472e+06  7.860e+05
  409.000  2.803e+07  1.026e+07  1.146e+07  1.012e+06
  411.000  2.579e+07  8.175e+06  9.131e+06  8.108e+05
  413.000  2.440e+07  8.351e+06  9.320e+06  8.868e+05
  415.000  2.249e+07  7.695e+06  8.580e+06  8.786e+05
  417.000  2.388e+07  8.085e+06  9.016e+06  9.144e+05
  419.000  2.253e+07  7.928e+06  8.844e+06  8.773e+05
  421.000  2.335e+07  7.495e+06  8.381e+06  6.673e+05
  423.000  2.096e+07  5.453e+06  6.101e+06  4.638e+05
  425.000  2.430e+07  7.959e+06  8.902e+06  6.994e+05
  427.000  2.190e+07  7.318e+06  8.164e+06  8.075e+05
  429.000  2.046e+07  7.085e+06  7.899e+06  8.131e+05
  431.000  1.825e+07  7.043e+06  7.843e+06  8.806e+05
  433.000  2.781e+07  1.037e+07  1.158e+07  1.116e+06
  435.000  2.847e+07  1.112e+07  1.241e+07  1.155e+06
  437.000  3.051e+07  1.186e+07  1.324e+07  1.233e+06
  439.000  2.567e+07  9.577e+06  1.068e+07  1.101e+06
  441.000  2.775e+07  1.030e+07  1.149e+07  1.108e+06
  443.000  3.123e+07  1.137e+07  1.270e+07  1.067e+06
  445.000  3.156e+07  1.175e+07  1.313e+07  1.119e+06
  447.000  3.413e+07  1.313e+07  1.468e+07  1.196e+06
  449.000  3.511e+07  1.355e+07  1.515e+07  1.254e+06
  451.000  4.058e+07  1.614e+07  1.806e+07  1.329e+06
  453.000  3.482e+07  1.309e+07  1.463e+07  1.204e+06
  455.000  3.760e+07  1.471e+07  1.645e+07  1.300e+06
  457.000  3.997e+07  1.588e+07  1.776e+07  1.429e+06
  459.000  3.807e+07  1.491e+07  1.669e+07  1.207e+06
  461.000  3.895e+07  1.541e+07  1.725e+07  1.300e+06
  463.000  3.871e+07  1.538e+07  1.721e+07  1.241e+06
  465.000  3.870e+07  1.500e+07  1.679e+07  1.221e+06
  467.000  4.066e+07  1.615e+07  1.809e+07  1.279e+06
  469.000  3.996e+07  1.571e+07  1.759e+07  1.269e+06
  471.000  3.826e+07  1.477e+07  1.652e+07  1.323e+06
  473.000  3.960e+07  1.499e+07  1.677e+07  1.296e+06
  475.000  4.013e+07  1.497e+07  1.674e+07  1.379e+06
