 Disk integrated flux for G2V star (erg s-1 Sr-1 cm-2 nm-1)
=============================================================
Wavelength   quiet     spot      penumbra     umbra
   [nm]      region
=============================================================
  295.000  2.836e+07  5.340e+06  6.488e+06  4.165e+04
  297.000  2.902e+07  5.266e+06  6.398e+06  4.078e+04
  299.000  2.905e+07  5.236e+06  6.360e+06  4.634e+04
  301.000  2.856e+07  4.786e+06  5.812e+06  4.838e+04
  303.000  3.155e+07  5.918e+06  7.187e+06  5.861e+04
  305.000  3.324e+07  6.260e+06  7.601e+06  6.783e+04
  307.000  3.596e+07  8.035e+06  9.757e+06  8.040e+04
  309.000  3.358e+07  7.142e+06  8.670e+06  7.625e+04
  311.000  3.959e+07  1.006e+07  1.220e+07  1.211e+05
  313.000  3.743e+07  9.017e+06  1.094e+07  1.171e+05
  315.000  3.561e+07  9.341e+06  1.132e+07  1.692e+05
  317.000  3.907e+07  1.066e+07  1.291e+07  2.386e+05
  319.000  3.399e+07  8.800e+06  1.066e+07  1.873e+05
  321.000  3.774e+07  9.556e+06  1.157e+07  2.242e+05
  323.000  3.120e+07  7.908e+06  9.565e+06  2.201e+05
  325.000  4.335e+07  1.218e+07  1.473e+07  3.562e+05
  327.000  5.144e+07  1.534e+07  1.854e+07  5.059e+05
  329.000  4.893e+07  1.487e+07  1.795e+07  6.051e+05
  331.000  4.585e+07  1.288e+07  1.555e+07  4.821e+05
  333.000  4.695e+07  1.337e+07  1.614e+07  5.326e+05
  335.000  4.519e+07  1.247e+07  1.506e+07  4.840e+05
  337.000  3.333e+07  8.018e+06  9.678e+06  2.974e+05
  339.000  3.891e+07  9.629e+06  1.162e+07  3.915e+05
  341.000  3.966e+07  9.814e+06  1.183e+07  4.297e+05
  343.000  4.183e+07  1.088e+07  1.312e+07  4.818e+05
  345.000  4.322e+07  1.086e+07  1.310e+07  4.376e+05
  347.000  4.557e+07  1.153e+07  1.392e+07  4.280e+05
  349.000  5.029e+07  1.397e+07  1.685e+07  5.945e+05
  351.000  5.281e+07  1.559e+07  1.876e+07  8.569e+05
  353.000  4.821e+07  1.370e+07  1.647e+07  8.096e+05
  355.000  5.484e+07  1.613e+07  1.936e+07  1.151e+06
  357.000  3.898e+07  9.236e+06  1.112e+07  4.764e+05
  359.000  3.989e+07  1.011e+07  1.218e+07  4.635e+05
  361.000  4.735e+07  1.334e+07  1.606e+07  6.895e+05
  363.000  4.787e+07  1.403e+07  1.686e+07  8.574e+05
  364.000  4.937e+07  1.509e+07  1.812e+07  9.814e+05
  365.000  5.566e+07  1.748e+07  2.096e+07  1.225e+06
  367.000  5.862e+07  1.971e+07  2.358e+07  1.656e+06
  369.000  5.448e+07  1.672e+07  2.005e+07  1.173e+06
  371.000  5.639e+07  1.626e+07  1.956e+07  8.610e+05
  373.000  3.878e+07  8.773e+06  1.057e+07  4.016e+05
  375.000  4.393e+07  1.033e+07  1.244e+07  4.979e+05
  377.000  5.459e+07  1.573e+07  1.885e+07  1.203e+06
  379.000  5.678e+07  1.640e+07  1.961e+07  1.413e+06
  381.000  5.531e+07  1.449e+07  1.735e+07  1.193e+06
  383.000  3.178e+07  6.975e+06  8.349e+06  5.262e+05
  385.000  4.405e+07  1.003e+07  1.199e+07  8.666e+05
  387.000  4.386e+07  1.030e+07  1.233e+07  8.374e+05
  389.000  5.047e+07  1.386e+07  1.663e+07  9.158e+05
  391.000  6.729e+07  1.994e+07  2.392e+07  1.406e+06
  393.000  3.477e+07  9.042e+06  1.085e+07  5.633e+05
  395.000  6.078e+07  1.771e+07  2.129e+07  1.058e+06
  397.000  3.940e+07  1.165e+07  1.396e+07  8.058e+05
  399.000  8.129e+07  2.749e+07  3.287e+07  2.433e+06
  401.000  8.792e+07  3.059e+07  3.646e+07  3.262e+06
  403.000  8.797e+07  2.914e+07  3.486e+07  2.537e+06
  405.000  8.275e+07  2.688e+07  3.210e+07  2.580e+06
  407.000  7.888e+07  2.470e+07  2.951e+07  2.309e+06
  409.000  8.654e+07  3.112e+07  3.701e+07  3.646e+06
  411.000  8.064e+07  2.832e+07  3.385e+07  2.530e+06
  413.000  8.699e+07  2.871e+07  3.427e+07  2.820e+06
  415.000  8.696e+07  2.722e+07  3.250e+07  2.660e+06
